Ex_Date,Record_Date,Symbol,Company_Name,Series,Action_Type,Ratio_or_Amount,Purpose,Face_Value,ISIN,BC_Start_Date,BC_End_Date
2026-09-25,2026-09-25,LOTUSDEV,Sri Lotus Developers and Realty Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,1,INE0V9Q01010,,
2026-09-24,2026-09-24,ENGINERSIN,Engineers India Limited,EQ,DIVIDEND,2.50,Dividend - Rs 2.50 Per Share,5,INE510A01010,,
2026-09-23,2026-09-23,AAATECH,Aaa Technologies Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE0D0U01013,,
2026-09-23,2026-09-23,AGIIL,Agi Infra Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share,1,INE976R01017,,
2026-09-23,2026-09-23,APOLLO,Apollo Micro Systems Limited,EQ,DIVIDEND,0.25,Dividend - Re 0.25 Per Share,1,INE713T01010,,
2026-09-23,2026-09-23,ASAHISONG,Asahi Songwon Colors Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share,10,INE228I01012,,
2026-09-23,2026-09-23,CNL,Creative Newtech Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,10,INE985W01018,,
2026-09-23,2026-09-23,CONFIPET,Confidence Petroleum India Limited,EQ,DIVIDEND,0.10,Dividend - Re 0.10 Per Share,1,INE552D01024,,
2026-09-23,2026-09-23,DEVIT,Dev Information Technology Limited,EQ,DIVIDEND,0.10,Dividend - Re 0.10 Per Share,2,INE060X01018,,
2026-09-23,2026-09-23,GALLANTT,Gallantt Ispat Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,10,INE297H01019,,
2026-09-23,2026-09-23,GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,DIVIDEND,9.50,Dividend - Rs 9.50 Per Share,2,INE131A01031,,
2026-09-23,2026-09-23,GOODLUCK,Goodluck India Limited,EQ,DIVIDEND,3.00,Dividend - Rs 3 Per Share,2,INE127I01024,,
2026-09-23,2026-09-23,HALEOSLABS,HALEOS LABS LIMITED,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share,10,INE320X01016,,
2026-09-23,2026-09-23,HARIOMPIPE,Hariom Pipe Industries Limited,EQ,DIVIDEND,0.75,Dividend - Re 0.75 Per Share,10,INE00EV01017,,
2026-09-23,2026-09-23,HLEGLAS,HLE Glascoat Limited,EQ,DIVIDEND,1.10,Dividend - Rs 1.10 Per Share,2,INE461D01010,,
2026-09-23,2026-09-23,ICEMAKE,Ice Make Refrigeration Limited,EQ,DIVIDEND,2.25,Dividend - Rs 2.25 Per Share,10,INE520Y01019,,
2026-09-23,2026-09-23,JGCHEM,J.G.Chemicals Limited,EQ,DIVIDEND,1.10,Dividend - Rs 1.10 Per Share,10,INE0MB501011,,
2026-09-23,2026-09-23,MIDHANI,Mishra Dhatu Nigam Limited,EQ,DIVIDEND,1.25,Dividend - Rs 1.25 Per Share,10,INE099Z01011,,
2026-09-23,2026-09-23,PASHUPATI,Pashupati Cotspin Limited,EQ,DIVIDEND,0.05,Dividend - Re 0.05 Per Share,1,INE124Y01010,,
2026-09-23,2026-09-23,PNCINFRA,PNC Infratech Limited,EQ,DIVIDEND,0.60,Dividend - Re 0.60 Per Share,2,INE195J01011,,
2026-09-23,2026-09-23,PREMEXPLN,Premier Explosives Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,2,INE863B01011,,
2026-09-23,2026-09-23,REMSONSIND,Remsons Industries Limited,EQ,DIVIDEND,0.10,Dividend - Re 0.10 Per Share,2,INE474C01015,,
