Date,Client_Index_Futures_Long,Client_Index_Futures_Short,Client_Index_Futures_Net,Client_Stock_Futures_Long,Client_Stock_Futures_Short,Client_Stock_Futures_Net,Client_Index_Call_Long,Client_Index_Call_Short,Client_Index_Put_Long,Client_Index_Put_Short,DII_Index_Futures_Long,DII_Index_Futures_Short,DII_Index_Futures_Net,DII_Stock_Futures_Long,DII_Stock_Futures_Short,DII_Stock_Futures_Net,DII_Index_Call_Long,DII_Index_Call_Short,DII_Index_Put_Long,DII_Index_Put_Short,FII_Index_Futures_Long,FII_Index_Futures_Short,FII_Index_Futures_Net,FII_Stock_Futures_Long,FII_Stock_Futures_Short,FII_Stock_Futures_Net,FII_Index_Call_Long,FII_Index_Call_Short,FII_Index_Put_Long,FII_Index_Put_Short,Pro_Index_Futures_Long,Pro_Index_Futures_Short,Pro_Index_Futures_Net,Pro_Stock_Futures_Long,Pro_Stock_Futures_Short,Pro_Stock_Futures_Net,Pro_Index_Call_Long,Pro_Index_Call_Short,Pro_Index_Put_Long,Pro_Index_Put_Short,Total_Index_Futures_OI,FII_Long_Ratio_Pct
2024-01-01,183839,243040,-59201,1606742,225809,1380933,4795416,5054679,4023569,4499891,75618,73647,1971,73830,2055584,-1981754,0,0,51490,0,148654,67297,81357,1397510,1068069,329441,1292263,793188,1506615,997728,28249,52376,-24127,434894,163514,271380,1468671,1708483,1624833,1708888,436360,68.84
2024-01-02,195331,237965,-42634,1626579,249785,1376794,6280912,6250446,3736471,4306826,61533,74099,-12566,75446,2059977,-1984531,0,0,62135,0,150027,70562,79465,1425213,1093493,331720,1636648,1178338,1397784,859925,31786,56051,-24265,448364,172347,276017,1776572,2265348,1540052,1569691,438677,68.01
2024-01-03,190653,222108,-31455,1647112,248958,1398154,4252096,4363290,3038646,3462806,58639,77605,-18966,74491,2067473,-1992982,0,0,63594,0,148146,77548,70598,1414441,1121956,292485,1118687,832750,1014892,711454,24952,45129,-20177,473224,170881,302343,1246630,1421373,1296336,1239208,422390,65.64
2024-01-04,194255,226533,-32278,1669200,256405,1412795,2885314,3191812,3394011,3582969,58535,78040,-19505,73033,2087197,-2014164,0,0,65962,0,148523,76456,72067,1416082,1132493,283589,729043,463513,831868,653110,22858,43142,-20284,488914,171134,317780,1139646,1098678,1414046,1469808,424171,66.02
2024-01-05,189489,225431,-35942,1662387,260822,1401565,4666702,5120968,3745783,4339977,59660,78034,-18374,73189,2077976,-2004787,0,0,66532,0,151352,75099,76253,1424992,1143687,281305,1132425,795297,1121257,721194,19446,41383,-21937,491586,169669,321917,1384039,1266901,1416403,1288804,419947,66.84
2024-01-08,197049,234261,-37212,1677224,260940,1416284,6657085,6311289,3703911,4075376,59660,79049,-19389,73895,2067691,-1993796,0,0,72446,0,152854,93872,58982,1419606,1179965,239641,1360438,1284616,1156891,993217,40026,42407,-2381,514924,177053,337871,1846314,2267932,1598068,1462723,449589,61.95
2024-01-09,184395,232078,-47683,1671437,258495,1412942,6474592,6242166,3608960,3976495,59660,79064,-19404,74401,2066335,-1991934,0,0,72474,0,164765,90877,73888,1442048,1191994,250054,1320520,1140485,1166029,996314,34381,41182,-6801,510462,181524,328938,1660684,2073145,1498368,1373022,443201,64.45
2024-01-10,180562,222150,-41588,1699909,253113,1446796,3666757,3865413,3425983,3771706,58082,77068,-18986,74550,2089705,-2015155,0,0,72470,0,158987,93000,65987,1447692,1213208,234484,796917,632464,983388,766719,35898,41311,-5413,517779,183904,333875,1245199,1210996,1371426,1314842,433529,63.09
2024-01-11,190940,231247,-40307,1723892,276883,1447009,3246572,3332712,2647460,3112936,55182,81468,-26286,81763,2098155,-2016392,0,0,72474,0,158011,91391,66620,1467417,1211337,256080,683032,574029,793616,616169,42077,42104,-27,521709,208406,313303,1178308,1201171,1427666,1212111,446210,63.36
2024-01-12,189917,231913,-41996,1717951,277499,1440452,3593334,3991856,4357919,4696806,54952,81368,-26416,88478,2106274,-2017796,0,0,79404,0,158057,91438,66619,1471574,1203576,267998,1069803,789949,1287572,1014822,37261,35468,1793,535272,225926,309346,1393610,1274942,1655346,1668613,440187,63.35
2024-01-15,195133,246036,-50903,1718708,281357,1437351,4132198,4422445,5668584,5646170,56232,85822,-29590,89860,2105255,-2015395,0,0,79346,0,168754,87059,81695,1482726,1214010,268716,1255018,936898,1578879,1322892,37211,38413,-1202,545669,236341,309328,1411937,1439810,1737628,2095375,457330,65.97
2024-01-16,190414,244020,-53606,1714396,284155,1430241,4893385,5123444,4888035,5341220,56486,85846,-29360,90398,2094056,-2003658,0,0,76846,0,167618,88019,79599,1470342,1211423,258919,1507892,1087922,1648382,1120895,44544,41177,3367,555605,241107,314498,1417711,1607622,1535877,1687025,459062,65.57
2024-01-17,247279,227800,19479,1756270,261932,1494338,5268881,4851385,2739140,3122001,55022,85782,-30760,91767,2117578,-2025811,0,0,69367,0,133378,112724,20654,1467435,1288020,179415,1093262,1125875,1247091,1136807,51322,60695,-9373,594380,242322,352058,1438370,1823253,1298247,1095037,487001,54.2
2024-01-18,279372,224032,55340,1798113,245624,1552489,4375941,4058509,2602652,3006651,54541,86568,-32027,92561,2144198,-2051637,0,0,64156,0,125972,130631,-4659,1455587,1302537,153050,850304,827163,1083783,850139,50616,69270,-18654,608429,262331,346098,1366307,1706880,1261264,1155065,510501,49.09
2024-01-19,282062,218692,63370,1793564,250752,1542812,5621894,5257806,3217322,3649655,54549,88804,-34255,100431,2157087,-2056656,0,0,62642,0,124833,141073,-16240,1512453,1299905,212548,1218345,1182564,1307858,1056621,57408,70283,-12875,586946,285650,301296,1588908,1988777,1487908,1369454,518852,46.95
2024-01-23,287427,227240,60187,1761568,244014,1517554,7058353,6596980,3531020,3840428,54678,86429,-31751,113722,2133872,-2020150,0,0,61595,0,126211,145040,-18829,1563444,1334426,229018,1370528,1290008,1321585,1129595,62211,71818,-9607,564603,291025,273578,2009379,2551272,1391492,1335669,530527,46.53
2024-01-24,289657,240579,49078,1781584,246178,1535406,7308773,6927127,4594763,4678197,55034,91725,-36691,113042,2192355,-2079313,0,0,53633,0,131082,139638,-8556,1601668,1298633,303035,1480277,1427310,1556906,1427680,83361,87192,-3831,548149,307277,240872,1986603,2421216,1636704,1736129,559134,48.42
2024-01-25,324837,227300,97537,1824947,179375,1645572,2793827,2697209,1883634,2238795,56514,90925,-34411,58390,2122815,-2064425,0,0,17651,0,42771,151654,-108883,1490432,1382808,107624,637682,608348,761971,588317,93872,48115,45757,446145,134916,311229,959085,1085037,966942,803086,517994,22.0
2024-01-29,322429,219388,103041,1798698,204329,1594369,4271334,4151541,3812863,3969290,56372,95773,-39401,62378,2152394,-2090016,0,0,18641,0,48167,147287,-99120,1562704,1357897,204807,976191,1001926,1195157,1110922,82067,46587,35480,444596,153756,290840,1447285,1541343,1459309,1405758,509035,24.64
2024-01-30,314558,200611,113947,1818159,205262,1612897,5253269,4938143,3414448,3793094,58076,97216,-39140,62609,2171415,-2108806,0,0,21818,0,46249,146205,-99956,1555881,1353507,202374,1043465,1169408,1164380,1057393,68502,43353,25149,451385,157850,293535,1681092,1870275,1477722,1227881,487385,24.03
2024-01-31,286361,195253,91108,1793713,218947,1574766,3259965,2877599,2541540,2570036,56529,91216,-34687,63431,2186881,-2123450,0,0,24780,0,64525,151876,-87351,1571610,1310576,261034,616143,804545,711909,717283,67249,36319,30930,450431,162781,287650,1077126,1271090,1022464,1013374,474664,29.82
2024-02-01,285623,201145,84478,1824022,226497,1597525,3614522,3346345,2865248,3008335,56204,88916,-32712,61140,2186008,-2124868,0,0,24780,0,67523,147863,-80340,1577870,1340521,237349,767640,833194,798935,699282,67473,38899,28574,462284,172290,289994,1146975,1349598,1069337,1050683,476823,31.35
2024-02-02,287067,197491,89576,1789090,232168,1556922,4731095,4459857,3487206,3664646,56219,90258,-34039,69698,2212014,-2142316,0,0,24754,0,69557,144454,-74897,1630414,1309189,321225,956755,1028894,1050207,1031466,64490,45130,19360,453044,188875,264169,1436374,1635473,1372242,1238297,477333,32.5
2024-02-05,281556,197150,84406,1808036,246362,1561674,6251672,5744996,4066380,4215633,56180,90258,-34078,75149,2201282,-2126133,0,0,24754,0,81398,143396,-61998,1638597,1331722,306875,1045205,1230377,1067987,1078956,58173,46503,11670,453332,195748,257584,1778267,2099771,1509063,1373595,477307,36.21
2024-02-06,282645,214184,68461,1833275,257582,1575693,5867266,5614768,4600807,4656101,56227,90258,-34031,77009,2211305,-2134296,0,0,24754,0,88590,148865,-60275,1611934,1323888,288046,1163846,1231247,1113757,1089162,71383,45538,25845,472699,202142,270557,1685306,1870403,1521419,1515474,498845,37.31
2024-02-07,283916,209078,74838,1864408,250679,1613729,3622756,3623873,3218621,3472900,56272,88258,-31986,79596,2218658,-2139062,0,0,24754,0,88281,168632,-80351,1580112,1343631,236481,679295,662252,841504,714985,84993,47494,37499,490719,201867,288852,1202585,1218511,1216978,1113972,513462,34.36
2024-02-08,298798,215215,83583,1903603,229836,1673767,4140028,3919935,2511397,2952748,56808,83258,-26450,83648,2224434,-2140786,0,0,24754,0,87405,180165,-92760,1554011,1398799,155212,830770,845426,931532,770865,81526,45899,35627,509199,197392,311807,1490582,1696019,1364477,1108547,524537,32.67
2024-02-09,275982,205341,70641,1898044,228454,1669590,4305800,4325571,3665102,3921986,56817,80758,-23941,89680,2218386,-2128706,0,0,24754,0,90876,174729,-83853,1562708,1429056,133652,907870,906212,1006217,899434,77015,39862,37153,526437,200973,325464,1560286,1542173,1473941,1348594,500690,34.21
2024-02-12,298692,214823,83869,1887387,224702,1662685,6547330,6101415,3703607,4035758,56863,78258,-21395,89957,2228781,-2138824,0,0,24754,0,92567,178902,-86335,1588225,1435968,152257,1162184,1268049,1135584,1038529,68274,44413,23861,531608,207726,323882,1997147,2337197,1655621,1445279,516396,34.1
2024-02-13,280824,221872,58952,1888561,230214,1658347,4858788,5016990,4508994,4693899,55353,75984,-20631,90653,2248525,-2157872,0,0,24754,0,98261,180536,-82275,1600270,1419990,180280,1014099,1056402,1163291,1065952,88929,44975,43954,529519,210274,319245,1748993,1548488,1743902,1681090,523367,35.24
2024-02-14,265013,205446,59567,1914507,231909,1682598,3072535,3222635,3531048,3781619,55432,77990,-22558,92146,2254049,-2161903,0,0,24754,0,103459,183989,-80530,1600998,1433436,167562,723744,658383,978840,739131,83416,39895,43521,531857,220114,311743,1152580,1067841,1340535,1354427,507320,35.99
2024-02-15,259050,194944,64106,1938059,230202,1707857,2718320,2856815,3289713,3457902,57225,75520,-18295,94124,2261105,-2166981,0,0,25064,0,101343,176541,-75198,1599477,1458817,140660,785516,757506,833954,734905,67545,38158,29387,543364,224900,318464,1150422,1039937,1311207,1267131,485163,36.47
2024-02-16,260480,195249,65231,1933852,228460,1705392,3658792,3721035,4277914,4377565,57235,77755,-20520,95145,2272133,-2176988,0,0,29064,0,111842,180632,-68790,1614300,1458379,155921,946250,1000887,1108076,1028296,63319,39240,24079,542933,227258,315675,1276631,1159751,1488339,1497532,492876,38.24
2024-02-19,256764,195898,60866,1947383,229407,1717976,4481847,4424858,5162521,5116809,57946,77755,-19809,96597,2271513,-2174916,0,0,29064,0,116489,180298,-63809,1600673,1465863,134810,996550,1109914,1181790,1172981,60806,38054,22752,553784,231654,322130,1370872,1314497,1603584,1687169,492005,39.25
2024-02-20,254877,194687,60190,1930021,236094,1693927,4047960,4188680,5909808,5697397,57973,82755,-24782,98299,2250775,-2152476,0,0,29064,0,120958,175772,-54814,1588555,1472306,116249,1018422,1140188,1345696,1323002,57235,37829,19406,574052,231752,342300,1558281,1295795,1694244,1958413,491043,40.76
2024-02-21,256640,195685,60955,1930569,240841,1689728,4014718,3978358,3144807,3467022,58364,79986,-21622,100166,2232050,-2131884,0,0,29064,0,130909,178339,-47430,1587761,1473152,114609,824048,788754,912799,779988,55934,47837,8097,576370,248823,327547,1232844,1304498,1246930,1086590,501847,42.33
2024-02-22,264995,199212,65783,1957726,238456,1719270,2968202,3083054,2815946,3167417,56891,86030,-29139,102480,2247346,-2144866,0,0,29064,0,134577,169246,-34669,1616101,1519251,96850,704689,623041,868408,664470,46944,48919,-1975,597510,268764,328746,1183283,1150079,1225823,1107354,503407,44.29
2024-02-23,269716,201548,68168,1940849,242853,1697996,4426155,4393546,3505935,3958799,56961,83980,-27019,103304,2237825,-2134521,0,0,43064,0,129896,166954,-37058,1636643,1496016,140627,949017,924734,1106615,892205,48638,52729,-4091,595554,299656,295898,1369800,1426692,1443268,1247878,505211,43.76
2024-02-26,279289,202665,76624,1942213,245684,1696529,5671817,5519813,3919612,4372867,56993,83980,-26987,98891,2238529,-2139638,0,0,41817,0,135063,164200,-29137,1623880,1475624,148256,1073211,1110493,1186467,1040092,48215,68715,-20500,597187,302334,294853,1630469,1745191,1708586,1443523,519560,45.13
2024-02-27,283413,204045,79368,1947820,243405,1704415,5414932,5396126,4146361,4578688,56911,87980,-31069,98391,2233269,-2134878,0,0,49064,0,142334,169376,-27042,1655435,1522243,133192,1157376,1156857,1250518,1085424,49087,70344,-21257,590164,292893,297271,1478303,1497628,1649468,1431299,531745,45.66
2024-02-28,297836,222756,75080,1921863,232291,1689572,7952426,7161511,4138172,4473840,55413,87980,-32567,107960,2223040,-2115080,0,0,45602,0,141858,171825,-29967,1664948,1536755,128193,1486944,1725391,1354155,1343947,55451,67997,-12546,580971,283656,297315,2065965,2618433,1735345,1455487,550558,45.22
2024-02-29,285811,206265,79546,1894124,182337,1711787,2273905,2361366,2023898,2365463,54047,82034,-27987,71441,2220776,-2149335,0,0,36680,0,68757,127725,-58968,1631721,1554101,77620,590332,520943,687032,492936,58273,50864,7409,493786,133858,359928,1008821,990749,1004200,893411,466888,34.99
2024-03-01,355122,262107,93015,1871569,198155,1673414,3109061,3366422,4454718,4493062,54482,89587,-35105,76403,2228034,-2151631,0,0,37581,0,72084,134845,-62761,1670078,1527943,142135,953371,949289,1190949,1058526,56263,51412,4851,482398,146316,336082,1572215,1318936,1592328,1723988,537951,34.84
2024-03-04,389917,303418,86499,1895871,199770,1696101,4262349,4335616,5485416,5331650,60300,89587,-29287,83411,2233833,-2150422,0,0,42191,0,79148,129195,-50047,1648296,1519354,128942,1077609,1108615,1104290,1142131,51626,58791,-7165,481715,156336,325379,1591324,1487051,1821565,1979681,580991,37.99
2024-03-05,433998,352296,81702,1934665,207636,1727029,4225390,4281295,5349833,5230715,60734,85754,-25020,86241,2234663,-2148422,0,0,42214,0,78694,143635,-64941,1642391,1567955,74436,1047092,1148591,1198133,1234343,65047,56788,8259,506555,159598,346957,1606766,1449362,1740404,1865526,638473,35.4
