Date,FII_Buy_Cr,FII_Sell_Cr,FII_Net_Cr,DII_Buy_Cr,DII_Sell_Cr,DII_Net_Cr,Total_Net_Cr
2026-01-14,35392.0,41832.0,-6440.0,29795.0,22442.0,7353.0,913.0
2026-01-15,18450.0,21208.0,-2758.0,19071.0,14110.0,4961.0,2203.0
2026-01-16,71683.0,84066.0,-12383.0,85286.0,72784.0,12502.0,119.0
2026-01-19,24128.0,28298.0,-4170.0,24685.0,16760.0,7925.0,3755.0
2026-01-20,50854.0,61618.0,-10764.0,44865.0,51190.0,-6325.0,-17089.0
2026-01-21,37127.0,42459.0,-5332.0,85731.0,100143.0,-14412.0,-19744.0
2026-01-22,19023.0,22681.0,-3658.0,48017.0,38279.0,9738.0,6080.0
2026-01-23,26175.0,33400.0,-7225.0,55577.0,66867.0,-11290.0,-18515.0
2026-01-27,29693.0,38780.0,-9087.0,18976.0,14757.0,4219.0,-4868.0
2026-01-28,64912.0,74532.0,-9620.0,34575.0,28600.0,5975.0,-3645.0
2026-01-29,49683.0,57471.0,-7788.0,24346.0,17787.0,6559.0,-1229.0
2026-01-30,17430.0,19642.0,-2212.0,46774.0,36959.0,9815.0,7603.0
2026-02-02,4283.0,4974.0,-691.0,54653.0,65402.0,-10749.0,-11440.0
2026-02-03,14713.0,17122.0,-2409.0,20356.0,16481.0,3875.0,1466.0
2026-02-04,11838.0,14077.0,-2239.0,40134.0,30767.0,9367.0,7128.0
2026-02-05,6942.0,8227.0,-1285.0,18043.0,13476.0,4567.0,3282.0
2026-02-06,9812.0,11121.0,-1309.0,18839.0,15651.0,3188.0,1879.0
2026-02-09,3684.0,4184.0,-500.0,8327.0,6575.0,1752.0,1252.0
2026-02-10,4239.0,5111.0,-872.0,5334.0,3695.0,1639.0,767.0
2026-02-11,1679.0,1294.0,385.0,10805.0,9463.0,1342.0,1727.0
2026-02-12,10014.0,11452.0,-1438.0,16148.0,14053.0,2095.0,657.0
2026-02-13,9190.0,10719.0,-1529.0,24715.0,20548.0,4167.0,2638.0
2026-02-16,13903.0,15897.0,-1994.0,76885.0,65409.0,11476.0,9482.0
2026-02-17,7638.0,9272.0,-1634.0,27824.0,23155.0,4669.0,3035.0
2026-02-18,3052.0,3734.0,-682.0,26943.0,19000.0,7943.0,7261.0
2026-02-19,10028.0,7954.0,2074.0,14555.0,11418.0,3137.0,5211.0
2026-02-20,12671.0,14741.0,-2070.0,17499.0,13131.0,4368.0,2298.0
2026-02-23,10399.0,11794.0,-1395.0,6438.0,7883.0,-1445.0,-2840.0
2026-02-24,4365.0,5057.0,-692.0,23446.0,28791.0,-5345.0,-6037.0
2026-02-25,13219.0,14926.0,-1707.0,13736.0,15587.0,-1851.0,-3558.0
2026-02-26,9959.0,11254.0,-1295.0,21630.0,18607.0,3023.0,1728.0
2026-02-27,6527.0,8055.0,-1528.0,20407.0,13833.0,6574.0,5046.0
2026-03-02,30503.0,35956.0,-5453.0,30471.0,25670.0,4801.0,-652.0
2026-03-03,18490.0,21700.0,-3210.0,22807.0,17174.0,5633.0,2423.0
2026-03-04,49452.0,58841.0,-9389.0,18953.0,24864.0,-5911.0,-15300.0
2026-03-05,29624.0,35792.0,-6168.0,12904.0,10590.0,2314.0,-3854.0
2026-03-06,17769.0,22645.0,-4876.0,10328.0,8177.0,2151.0,-2725.0
2026-03-09,23239.0,18375.0,4864.0,7844.0,5928.0,1916.0,6780.0
2026-03-10,44824.0,52279.0,-7455.0,51502.0,43606.0,7896.0,441.0
2026-03-11,26291.0,31171.0,-4880.0,25854.0,21422.0,4432.0,-448.0
2026-03-12,31328.0,40927.0,-9599.0,31306.0,36376.0,-5070.0,-14669.0
2026-03-13,20297.0,26167.0,-5870.0,21455.0,25286.0,-3831.0,-9701.0
2026-03-16,16444.0,18873.0,-2429.0,12560.0,15010.0,-2450.0,-4879.0
2026-03-17,18174.0,15376.0,2798.0,42181.0,36283.0,5898.0,8696.0
2026-03-18,21178.0,26057.0,-4879.0,15138.0,12006.0,3132.0,-1747.0
2026-03-19,19412.0,23411.0,-3999.0,11654.0,9012.0,2642.0,-1357.0
2026-03-20,15249.0,19438.0,-4189.0,27927.0,22176.0,5751.0,1562.0
2026-03-23,27331.0,33312.0,-5981.0,52431.0,44183.0,8248.0,2267.0
2026-03-24,19237.0,22318.0,-3081.0,22095.0,15656.0,6439.0,3358.0
2026-03-25,6497.0,8105.0,-1608.0,17831.0,14208.0,3623.0,2015.0
2026-03-26,24919.0,21202.0,3717.0,7221.0,5920.0,1301.0,5018.0
2026-03-27,15219.0,18969.0,-3750.0,26231.0,22585.0,3646.0,-104.0
2026-03-30,21952.95,33116.01,-11163.06,26358.5,11463.78,14894.72,3731.66
2026-04-01,17958.07,26289.22,-8331.15,18536.73,11364.93,7171.8,-1159.35
2026-04-02,10626.52,20557.65,-9931.13,18421.27,11212.86,7208.41,-2722.72
2026-04-07,7953.46,16645.57,-8692.11,20860.09,12880.59,7979.5,-712.61
2026-04-09,15746.32,17457.51,-1711.19,15968.21,15012.31,955.9,-755.29
2026-04-15,18075.63,17409.48,666.15,18499.57,19068.55,-568.98,97.17
2026-04-16,16209.44,15827.08,382.36,16538.08,19965.83,-3427.75,-3045.39
2026-04-17,16034.88,15351.68,683.2,17513.99,22235.47,-4721.48,-4038.28
2026-04-23,12829.12,16083.83,-3254.71,18498.19,17556.84,941.35,-2313.36
2026-04-24,9837.2,18665.07,-8827.87,21560.16,16859.45,4700.71,-4127.16
2026-04-27,30263.32,31414.8,-1151.48,19978.34,15854.42,4123.92,2972.44
2026-04-28,17231.5,19335.24,-2103.74,18044.05,16332.04,1712.01,-391.73
2026-04-29,14271.22,16739.64,-2468.42,17232.28,14970.11,2262.17,-206.25
2026-05-12,16555.27,18514.66,-1959.39,20684.82,12694.5,7990.32,6030.93
2026-05-13,14373.99,19077.14,-4703.15,18872.65,13003.6,5869.05,1165.9
2026-05-14,17350.56,17163.1,187.46,18255.96,17571.63,684.33,871.79
2026-05-15,16299.6,14970.43,1329.17,14961.88,16920.7,-1958.82,-629.65
2026-05-18,17222.18,14408.49,2813.69,16844.94,14162.82,2682.12,5495.81
2026-05-19,17907.55,20365.04,-2457.49,16951.95,13150.27,3801.68,1344.19
2026-05-20,14139.56,15736.91,-1597.35,16000.79,14032.44,1968.35,371.0
2026-05-21,12322.16,14213.37,-1891.21,15857.03,13364.61,2492.42,601.21
2026-05-22,10972.76,15413.23,-4440.47,18436.72,12433.19,6003.53,1563.06
2026-05-25,12083.12,11261.37,821.75,16434.96,12578.08,3856.88,4678.63
2026-05-26,13127.02,15534.89,-2407.87,15536.74,14175.31,1361.43,-1046.44
2026-05-27,11418.65,12461.35,-1042.7,16893.1,13072.1,3821.0,2778.3
2026-05-29,89733.64,110839.5,-21105.86,36999.7,20235.56,16764.14,-4341.72
2026-06-01,17725.89,21637.57,-3911.68,15226.29,10117.16,5109.13,1197.45
2026-06-02,16955.9,25318.82,-8362.92,22508.77,12919.45,9589.32,1226.4
2026-06-03,17053.63,22670.19,-5616.56,17530.0,11789.11,5740.89,124.33
