Year,Month,Equity_Net_Cr,Debt_Net_Cr,Total_Net_Cr,Source
2005,January,458.0,-774.0,-316.0,NSDL
2005,February,8375.0,834.0,9209.0,NSDL
2005,March,7501.0,425.0,7926.0,NSDL
2005,April,-655.0,-821.0,-1476.0,NSDL
2005,May,-1143.0,-246.0,-1389.0,NSDL
2005,June,5330.0,-70.0,5260.0,NSDL
2005,July,7935.0,-172.0,7763.0,NSDL
2005,August,5052.0,-430.0,4622.0,NSDL
2005,September,4645.0,-187.0,4458.0,NSDL
2005,October,-3694.0,-934.0,-4628.0,NSDL
2005,November,4039.0,-2166.0,1873.0,NSDL
2005,December,9337.0,-975.0,8362.0,NSDL
2006,January,3679.0,-921.0,2758.0,NSDL
2006,February,7587.0,-151.0,7436.0,NSDL
2006,March,6690.0,-259.0,6431.0,NSDL
2006,April,523.0,249.0,772.0,NSDL
2006,May,-7353.0,706.0,-6647.0,NSDL
2006,June,480.0,394.0,874.0,NSDL
2006,July,1143.0,154.0,1297.0,NSDL
2006,August,4645.0,804.0,5449.0,NSDL
2006,September,5424.0,708.0,6132.0,NSDL
2006,October,8014.0,657.0,8671.0,NSDL
2006,November,9381.0,805.0,10186.0,NSDL
2006,December,-3669.0,900.0,-2769.0,NSDL
2007,January,492.0,-2174.0,-1682.0,NSDL
2007,February,7239.0,956.0,8195.0,NSDL
2007,March,-1081.0,1443.0,362.0,NSDL
2007,April,6678.0,1041.0,7719.0,NSDL
2007,May,3960.0,1360.0,5320.0,NSDL
2007,June,1640.0,-542.0,1098.0,NSDL
2007,July,23873.0,-1264.0,22609.0,NSDL
2007,August,-7770.0,607.0,-7163.0,NSDL
2007,September,16131.0,2655.0,18786.0,NSDL
2007,October,20591.0,2500.0,23091.0,NSDL
2007,November,-5850.0,-468.0,-6318.0,NSDL
2007,December,5577.0,3312.0,8889.0,NSDL
2008,January,-13035.0,1951.0,-11084.0,NSDL
2008,February,1733.0,2496.0,4229.0,NSDL
2008,March,-131.0,-880.0,-1011.0,NSDL
2008,April,1076.0,-1702.0,-626.0,NSDL
2008,May,-5013.0,-163.0,-5176.0,NSDL
2008,June,-10098.0,-999.0,-11097.0,NSDL
2008,July,-1833.0,3620.0,1787.0,NSDL
2008,August,-1210.0,1256.0,46.0,NSDL
2008,September,-8280.0,3206.0,-5074.0,NSDL
2008,October,-15346.0,-1860.0,-17206.0,NSDL
2008,November,-2598.0,4217.0,1619.0,NSDL
2008,December,1748.0,629.0,2377.0,NSDL
2009,January,-4245.0,804.0,-3441.0,NSDL
2009,February,-2437.0,-688.0,-3125.0,NSDL
2009,March,530.0,-6418.0,-5888.0,NSDL
2009,April,6510.0,2488.0,8998.0,NSDL
2009,May,20116.0,-2707.0,17409.0,NSDL
2009,June,3831.0,1069.0,4900.0,NSDL
2009,July,11066.0,2116.0,13182.0,NSDL
2009,August,4906.0,-378.0,4528.0,NSDL
2009,September,18346.0,2228.0,20574.0,NSDL
2009,October,9076.0,6895.0,15971.0,NSDL
2009,November,5498.0,684.0,6182.0,NSDL
2009,December,10234.0,-1522.0,8712.0,NSDL
2010,January,-499.0,8914.0,8415.0,NSDL
