Date,CPI_Index,Inflation_YoY_Pct
1957-01-01,1.4714,
1957-02-01,1.4714,
1957-03-01,1.4714,
1957-04-01,1.5005,
1957-05-01,1.5114,
1957-06-01,1.5406,
1957-07-01,1.5406,
1957-08-01,1.5552,
1957-09-01,1.5661,
1957-10-01,1.5552,
1957-11-01,1.5661,
1957-12-01,1.5552,
1958-01-01,1.526,3.71
1958-02-01,1.5114,2.72
1958-03-01,1.5114,2.72
1958-04-01,1.526,1.7
1958-05-01,1.5552,2.89
1958-06-01,1.5952,3.55
1958-07-01,1.6353,6.15
1958-08-01,1.6498,6.09
1958-09-01,1.6644,6.28
1958-10-01,1.6899,8.67
1958-11-01,1.679,7.21
1958-12-01,1.6353,5.15
1959-01-01,1.6098,5.49
1959-02-01,1.6244,7.47
1959-03-01,1.6098,6.51
1959-04-01,1.6098,5.49
1959-05-01,1.6353,5.15
1959-06-01,1.6644,4.34
1959-07-01,1.7045,4.23
1959-08-01,1.719,4.19
1959-09-01,1.7045,2.41
1959-10-01,1.7336,2.59
1959-11-01,1.7336,3.25
1959-12-01,1.7045,4.23
1960-01-01,1.679,4.3
1960-02-01,1.679,3.36
1960-03-01,1.6644,3.39
1960-04-01,1.679,4.3
1960-05-01,1.6899,3.34
1960-06-01,1.7045,2.41
1960-07-01,1.7336,1.71
1960-08-01,1.7336,0.85
1960-09-01,1.719,0.85
1960-10-01,1.719,-0.84
1960-11-01,1.7045,-1.68
1960-12-01,1.7045,0.0
1961-01-01,1.6899,0.65
1961-02-01,1.6899,0.65
1961-03-01,1.7045,2.41
1961-04-01,1.7045,1.52
1961-05-01,1.7045,0.86
1961-06-01,1.719,0.85
1961-07-01,1.7482,0.84
1961-08-01,1.7591,1.47
1961-09-01,1.7591,2.33
1961-10-01,1.7591,2.33
1961-11-01,1.7591,3.21
1961-12-01,1.7591,3.21
1962-01-01,1.7482,3.45
1962-02-01,1.7482,3.45
1962-03-01,1.7482,2.56
1962-04-01,1.7591,3.21
1962-05-01,1.7737,4.06
1962-06-01,1.7882,4.03
1962-07-01,1.8137,3.75
1962-08-01,1.8283,3.93
1962-09-01,1.8283,3.93
1962-10-01,1.8429,4.76
1962-11-01,1.8283,3.93
1962-12-01,1.8028,2.48
1963-01-01,1.7882,2.29
1963-02-01,1.7737,1.46
1963-03-01,1.7882,2.29
1963-04-01,1.8028,2.48
1963-05-01,1.8137,2.26
1963-06-01,1.8429,3.05
1963-07-01,1.8574,2.41
1963-08-01,1.872,2.39
1963-09-01,1.8829,2.99
1963-10-01,1.8975,2.96
1963-11-01,1.8975,3.78
1963-12-01,1.9266,6.87
1964-01-01,1.9266,7.74
1964-02-01,1.9521,10.06
1964-03-01,1.9667,9.98
1964-04-01,1.9813,9.9
1964-05-01,2.0213,11.45
1964-06-01,2.0614,11.86
1964-07-01,2.1197,14.12
1964-08-01,2.1452,14.59
1964-09-01,2.1852,16.05
1964-10-01,2.2435,18.23
1964-11-01,2.2435,18.23
1964-12-01,2.2544,17.01
1965-01-01,2.269,17.77
1965-02-01,2.2289,14.18
1965-03-01,2.1852,11.11
1965-04-01,2.1998,11.03
1965-05-01,2.2144,9.55
1965-06-01,2.2435,8.83
1965-07-01,2.3091,8.93
1965-08-01,2.3382,9.0
1965-09-01,2.3673,8.33
1965-10-01,2.3673,5.52
1965-11-01,2.3783,6.01
1965-12-01,2.3783,5.49
1966-01-01,2.3783,4.82
1966-02-01,2.3928,7.35
1966-03-01,2.3928,9.5
1966-04-01,2.4074,9.44
1966-05-01,2.4875,12.34
1966-06-01,2.5458,13.47
1966-07-01,2.5859,11.99
1966-08-01,2.6113,11.68
1966-09-01,2.6259,10.92
1966-10-01,2.6405,11.54
1966-11-01,2.6696,12.25
1966-12-01,2.7097,13.94
1967-01-01,2.7097,13.94
1967-02-01,2.7243,13.85
1967-03-01,2.7497,14.92
1967-04-01,2.7789,15.43
1967-05-01,2.8335,13.91
1967-06-01,2.9027,14.02
1967-07-01,2.9282,13.24
1967-08-01,2.9573,13.25
1967-09-01,2.9428,12.07
1967-10-01,2.9828,12.97
1967-11-01,2.9719,11.32
1967-12-01,2.9428,8.6
1968-01-01,3.0265,11.69
1968-02-01,2.9828,9.49
1968-03-01,2.9282,6.49
1968-04-01,2.9428,5.9
1968-05-01,2.9173,2.96
1968-06-01,2.9428,1.38
1968-07-01,2.9282,0.0
1968-08-01,2.9938,1.23
1968-09-01,3.012,2.35
1968-10-01,3.0265,1.47
1968-11-01,2.961,-0.37
1968-12-01,2.8772,-2.23
1969-01-01,2.859,-5.54
1969-02-01,2.8444,-4.64
1969-03-01,2.859,-2.36
1969-04-01,2.8772,-2.23
1969-05-01,2.91,-0.25
1969-06-01,2.9938,1.73
1969-07-01,3.012,2.86
1969-08-01,3.012,0.61
1969-09-01,3.012,0.0
1969-10-01,2.9938,-1.08
1969-11-01,2.9792,0.62
1969-12-01,2.9792,3.54
1970-01-01,2.9792,4.2
1970-02-01,2.9792,4.74
1970-03-01,3.012,5.35
1970-04-01,3.0448,5.82
1970-05-01,3.0775,5.76
1970-06-01,3.114,4.01
