Date,USD_INR,EUR_INR,GBP_INR,JPY_INR
2006-05-16,44.995,58.476,85.91,0.4146
2006-05-17,44.625,57.506,84.96,0.4069
2006-05-18,45.4,58.323,85.93,0.4091
2006-05-19,45.295,57.633,85.22,0.4042
2006-05-22,45.29,58.208,85.38,0.4065
2006-05-23,45.38,57.969,85.11,0.4045
2006-05-24,45.68,58.309,85.44,0.4049
2006-05-25,45.769,58.618,85.84,0.4095
2006-05-26,45.755,58.792,85.83,0.4097
2006-05-29,45.99,58.655,85.53,0.4087
2006-05-30,46.08,59.275,86.69,0.4108
2006-05-31,46.16,59.124,86.35,0.41
2006-06-01,46.12,59.061,86.04,0.4099
2006-06-02,45.594,58.812,85.82,0.4076
2006-06-05,45.68,58.922,85.47,0.4066
2006-06-06,45.85,58.76,85.29,0.4048
2006-06-07,45.73,58.543,84.92,0.4031
2006-06-08,45.76,57.869,84.31,0.4016
2006-06-09,45.86,57.723,84.42,0.4007
2006-06-12,45.82,57.659,84.39,0.4005
2006-06-13,45.94,57.627,84.23,0.3984
2006-06-14,45.82,57.752,84.5,0.3987
2006-06-15,45.81,57.879,84.74,0.3992
2006-06-16,45.849,57.521,84.85,0.3952
2006-06-19,45.82,57.622,84.33,0.3969
2006-06-20,45.86,57.712,84.51,0.3991
2006-06-21,45.84,58.036,84.57,0.3991
2006-06-22,45.92,57.746,83.94,0.3953
2006-06-23,45.945,57.433,83.53,0.3935
2006-06-26,46.254,58.211,84.33,0.3978
2006-06-27,46.26,58.142,84.21,0.3974
2006-06-28,46.3,58.059,84.13,0.3976
2006-06-29,46.26,58.581,84.55,0.4017
2006-06-30,45.805,58.405,84.77,0.399
2006-07-03,45.94,58.792,84.62,0.4003
2006-07-04,45.9,58.684,84.64,0.3986
2006-07-05,45.95,58.497,84.33,0.3976
2006-07-06,45.94,58.52,84.39,0.3974
2006-07-07,45.785,58.579,84.83,0.4008
2006-07-10,46.0,58.608,84.75,0.4024
2006-07-11,46.14,58.897,85.1,0.4035
2006-07-12,46.02,58.475,84.42,0.3989
2006-07-13,46.22,58.661,85.24,0.4006
2006-07-14,46.327,58.218,85.21,0.3967
2006-07-17,46.58,58.29,84.73,0.3977
2006-07-18,46.56,58.19,84.96,0.3968
2006-07-19,46.8,58.947,86.23,0.4005
2006-07-20,46.76,59.067,86.45,0.3996
2006-07-21,46.585,58.974,86.61,0.3995
2006-07-24,46.848,59.141,86.66,0.4013
2006-07-25,46.72,58.774,85.99,0.3987
2006-07-26,46.68,59.323,86.54,0.4011
2006-07-27,46.54,59.077,86.45,0.4021
2006-07-28,46.465,59.155,86.52,0.4044
2006-07-31,46.42,59.268,86.68,0.4052
2006-08-01,46.44,59.504,87.09,0.4051
2006-08-02,46.5,59.485,87.33,0.4059
2006-08-03,46.428,59.415,87.61,0.4035
2006-08-04,46.432,59.651,88.61,0.4038
2006-08-07,46.5,59.563,88.54,0.4036
2006-08-08,46.4,59.277,88.08,0.4011
2006-08-09,46.4,59.745,88.44,0.4024
2006-08-10,46.312,59.242,87.72,0.4021
2006-08-11,46.425,59.153,87.75,0.4002
2006-08-14,46.488,59.116,87.77,0.3984
2006-08-15,46.44,59.393,87.97,0.4005
2006-08-16,46.468,59.677,88.11,0.401
2006-08-17,46.293,59.4,87.27,0.3993
2006-08-18,46.392,59.501,87.3,0.4006
2006-08-21,46.389,59.714,87.75,0.4
2006-08-22,46.389,59.44,87.62,0.3982
2006-08-23,46.392,59.289,87.76,0.3986
2006-08-24,46.448,59.267,87.68,0.3988
2006-08-25,46.448,59.259,87.68,0.3961
2006-08-28,46.49,59.468,88.09,0.3967
2006-08-29,46.394,59.514,88.11,0.3975
2006-08-30,46.288,59.425,88.16,0.3955
2006-08-31,46.476,59.517,88.43,0.3959
2006-09-01,46.508,59.658,88.56,0.397
2006-09-04,46.252,59.456,88.12,0.3981
2006-09-05,46.153,59.178,87.45,0.3972
2006-09-06,46.049,59.0,86.81,0.3949
2006-09-07,46.052,58.642,86.38,0.3955
2006-09-08,46.152,58.469,86.06,0.395
2006-09-11,46.153,58.658,86.11,0.3926
