Date,Repo,Reverse_Repo,SDF,MSF,Bank_Rate,CRR,SLR,Event
2000-06-05,8.0,5.0,,,8.0,8.0,25.0,Introduction of Liquidity Adjustment Facility (LAF)
2000-07-21,8.0,5.0,,,8.0,8.5,25.0,CRR increase by 50 bps
2001-02-16,7.75,5.0,,,7.5,8.25,25.0,Monetary easing cycle
2001-03-01,7.5,5.0,,,7.0,8.0,25.0,Bank Rate reduced to 7.00%
2001-04-27,6.75,5.0,,,7.0,7.5,25.0,Annual Monetary Policy Statement
2001-10-22,6.5,5.0,,,6.5,5.75,25.0,CRR reduction to 5.75%
2002-06-27,5.75,5.0,,,6.5,5.0,25.0,Liquidity enhancement
2002-10-29,5.5,5.0,,,6.25,4.75,25.0,Mid-term review rate cuts
2003-03-03,5.0,5.0,,,6.25,4.75,25.0,Repo cut to 5.00%
2003-04-29,5.0,5.0,,,6.0,4.5,25.0,Bank rate cut to 6.00%
2003-08-23,4.5,4.5,,,6.0,4.5,25.0,Repo rate reduced to 4.50%
2004-10-26,4.75,4.75,,,6.0,5.0,25.0,Gradual tightening begins
2005-04-28,5.0,5.0,,,6.0,5.0,25.0,Reverse repo hike
2005-10-25,5.25,5.25,,,6.0,5.0,25.0,Repo hike to 5.25%
2006-01-24,5.5,5.5,,,6.0,5.0,25.0,Quarterly policy hike
2006-06-08,5.75,5.75,,,6.0,5.0,25.0,Pre-emptive rate hike
2006-07-25,6.0,6.0,,,6.0,5.0,25.0,Repo reaches 6.00%
2007-01-31,7.5,6.0,,,6.0,5.5,25.0,Inflation control tightening
2007-03-30,7.75,6.0,,,6.0,6.5,25.0,CRR increased to 6.50%
2007-08-04,7.75,6.0,,,6.0,7.0,25.0,CRR increased to 7.00%
2007-11-10,7.75,6.0,,,6.0,7.5,25.0,CRR increased to 7.50%
2008-05-24,7.75,6.0,,,6.0,8.25,25.0,Commodity inflation response
2008-06-11,8.0,6.0,,,6.0,8.25,25.0,Repo raised to 8.00%
2008-06-24,8.5,6.0,,,6.0,8.75,25.0,Repo raised to 8.50%
2008-07-29,9.0,6.0,,,6.0,9.0,25.0,Peak tightening pre-GFC
2008-10-20,8.0,6.0,,,6.0,6.5,25.0,Global Financial Crisis emergency easing
2008-11-03,7.5,6.0,,,6.0,5.5,25.0,Further liquidity release
2008-12-08,6.5,5.0,,,6.0,5.0,24.0,100 bps rate cut
