Symbol,Tranche,ISIN,Payment_Date,Payment_Type,Amount_Per_Gram
SGBNOV23,2015-16 Series I,IN0020150085,2016-05-30,COUPON,36.91
SGBFEB24,2015-16 Series II,IN0020150101,2016-08-08,COUPON,35.75
SGBMAR24,2015-16 Series III,IN0020150119,2016-09-27,COUPON,40.09
SGBNOV23,2015-16 Series I,IN0020150085,2016-11-28,COUPON,36.91
SGBAUG24,2016-17 Series I,IN0020160027,2017-02-03,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2017-02-06,COUPON,35.75
SGBMAR24,2015-16 Series III,IN0020150119,2017-03-28,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2017-03-31,COUPON,39.38
SGBNOV24,2016-17 Series III,IN0020160076,2017-05-18,COUPON,37.59
SGBNOV23,2015-16 Series I,IN0020150085,2017-05-29,COUPON,36.91
SGBAUG24,2016-17 Series I,IN0020160027,2017-08-04,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2017-08-07,COUPON,35.75
SGBMAR25,2016-17 Series IV,IN0020160126,2017-09-15,COUPON,36.79
SGBMAR24,2015-16 Series III,IN0020150119,2017-09-26,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2017-09-29,COUPON,39.38
SGBMAY25,2017-18 Series I,IN0020170018,2017-11-10,COUPON,36.89
SGBNOV24,2016-17 Series III,IN0020160076,2017-11-16,COUPON,37.59
SGBNOV23,2015-16 Series I,IN0020150085,2017-11-27,COUPON,36.91
SGBJULY25,2017-18 Series II,IN0020170034,2018-01-26,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2018-02-02,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2018-02-05,COUPON,35.75
SGBMAR25,2016-17 Series IV,IN0020160126,2018-03-16,COUPON,36.79
SGBMAR24,2015-16 Series III,IN0020150119,2018-03-27,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2018-03-30,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2018-04-16,COUPON,36.95
SGBOCT25IV,2017-18 Series IV,IN0020170067,2018-04-23,COUPON,37.34
SGBOCT25V,2017-18 Series V,IN0020170075,2018-04-30,COUPON,37.14
