Symbol,Tranche,ISIN,Exchange,LTP,Spot_Gold_Rate,Premium_Discount_Pct,Issue_Price,Maturity_Date,Status
SGBOCT26,2018-19 Series II,IN0020180249,NSE,10399.0,7520.0,38.28,3146.0,2026-10-23,ACTIVE
SGBNOV26,2018-19 Series III,IN0020180314,NSE,10698.22,7520.0,42.26,3183.0,2026-11-13,ACTIVE
SGBDEC26,2018-19 Series IV,IN0020180389,NSE,10500.0,7520.0,39.63,3119.0,2027-01-01,ACTIVE
SGBJAN27,2018-19 Series V,IN0020180462,NSE,10500.0,7520.0,39.63,3214.0,2027-01-22,ACTIVE
SGBFEB27,2018-19 Series VI,IN0020180561,NSE,10508.05,7520.0,39.73,3326.0,2027-02-12,ACTIVE
SGBJUN27,2019-20 Series I,IN0020190073,NSE,10490.0,7520.0,39.49,3196.0,2027-06-11,ACTIVE
SGBJUL27,2019-20 Series II,IN0020190081,NSE,10695.14,7520.0,42.22,3443.0,2027-07-16,ACTIVE
SGBAUG27,2019-20 Series III,IN0020190107,NSE,10890.0,7520.0,44.81,3499.0,2027-08-14,ACTIVE
SGBSEP27,2019-20 Series IV,IN0020190115,NSE,10411.02,7520.0,38.44,3890.0,2027-09-17,ACTIVE
SGBOCT27,2019-20 Series V,IN0020190370,NSE,10699.95,7520.0,42.29,3788.0,2027-10-15,ACTIVE
SGBOCT27VI,2019-20 Series VI,IN0020190388,NSE,10391.0,7520.0,38.18,3835.0,2027-10-30,ACTIVE
SGBDC27VII,2019-20 Series VII,IN0020190461,NSE,10502.0,7520.0,39.65,3795.0,2027-12-10,ACTIVE
SGBJ28VIII,2019-20 Series VIII,IN0020190537,NSE,10492.2,7520.0,39.52,4016.0,2028-01-21,ACTIVE
SGBFEB28IX,2019-20 Series IX,IN0020190545,NSE,10649.99,7520.0,41.62,4070.0,2028-02-11,ACTIVE
SGBMAR28X,2019-20 Series X,IN0020190552,NSE,10597.96,7520.0,40.93,4260.0,2028-03-11,ACTIVE
SGBAPR28I,2020-21 Series I,IN0020200062,NSE,10790.0,7520.0,43.48,4639.0,2028-04-28,ACTIVE
SGBMAY28,2020-21 Series II,IN0020200088,NSE,10500.0,7520.0,39.63,4590.0,2028-05-19,ACTIVE
SGBJUN28,2020-21 Series III,IN0020200104,NSE,10500.0,7520.0,39.63,4677.0,2028-06-16,ACTIVE
SGBJUL28IV,2020-21 Series IV,IN0020200146,NSE,10490.0,7520.0,39.49,4852.0,2028-07-14,ACTIVE
SGBAUG28V,2020-21 Series V,IN0020200161,NSE,10523.0,7520.0,39.93,5334.0,2028-08-11,ACTIVE
SGBSEP28VI,2020-21 Series VI,IN0020200195,NSE,10564.0,7520.0,40.48,5117.0,2028-09-08,ACTIVE
SGBOC28VII,2020-21 Series VII,IN0020200203,NSE,10522.0,7520.0,39.92,5051.0,2028-10-20,ACTIVE
SGBN28VIII,2020-21 Series VIII,IN0020200286,NSE,10535.0,7520.0,40.09,5177.0,2028-11-18,ACTIVE
SGBJAN29IX,2020-21 Series IX,IN0020200377,NSE,10500.0,7520.0,39.63,5000.0,2029-01-05,ACTIVE
SGBJAN29X,2020-21 Series X,IN0020200385,NSE,10482.01,7520.0,39.39,5104.0,2029-01-19,ACTIVE
SGBFEB29XI,2020-21 Series XI,IN0020200393,NSE,10480.45,7520.0,39.37,4912.0,2029-02-09,ACTIVE
SGBMR29XII,2020-21 Series XII,IN0020200427,NSE,10550.0,7520.0,40.29,4662.0,2029-03-09,ACTIVE
SGBMAY29I,2021-22 Series I,IN0020210053,NSE,10514.0,7520.0,39.81,4777.0,2029-05-25,ACTIVE
SGBJUN29II,2021-22 Series II,IN0020210061,NSE,10585.0,7520.0,40.76,4842.0,2029-06-01,ACTIVE
SGBJU29III,2021-22 Series III,IN0020210087,NSE,10549.0,7520.0,40.28,4889.0,2029-06-08,ACTIVE
SGBJUL29IV,2021-22 Series IV,IN0020210111,NSE,10550.0,7520.0,40.29,4807.0,2029-07-20,ACTIVE
SGBAUG29V,2021-22 Series V,IN0020210129,NSE,10650.0,7520.0,41.62,4790.0,2029-08-17,ACTIVE
SGBSEP29VI,2021-22 Series VI,IN0020210145,NSE,10556.01,7520.0,40.37,4732.0,2029-09-07,ACTIVE
SGBNV29VII,2021-22 Series VII,IN0020210178,NSE,10647.95,7520.0,41.6,4761.0,2029-11-02,ACTIVE
SGBD29VIII,2021-22 Series VIII,IN0020210228,NSE,10701.0,7520.0,42.3,4791.0,2029-12-07,ACTIVE
SGBJAN30IX,2021-22 Series IX,IN0020210236,NSE,10955.7,7520.0,45.69,4786.0,2030-01-18,ACTIVE
SGBMAR30X,2021-22 Series X,IN0020210319,NSE,10960.0,7520.0,45.74,5109.0,2030-03-08,ACTIVE
SGBJUN30,2022-23 Series I,IN0020220045,NSE,11439.99,7520.0,52.13,5091.0,2030-06-28,ACTIVE
SGBAUG30,2022-23 Series II,IN0020220078,NSE,11511.0,7520.0,53.07,5197.0,2030-08-30,ACTIVE
SGBDE30III,2022-23 Series III,IN0020220110,NSE,11199.99,7520.0,48.94,5409.0,2030-12-27,ACTIVE
SGBMAR31IV,2022-23 Series IV,IN0020220169,NSE,11457.99,7520.0,52.37,5611.0,2031-03-14,ACTIVE
SGBJUN31I,2023-24 Series I,IN0020230069,NSE,11435.0,7520.0,52.06,5926.0,2031-06-27,ACTIVE
SGBSEP31II,2023-24 Series II,IN0020230093,NSE,11292.0,7520.0,50.16,5923.0,2031-09-20,ACTIVE
SGBDE31III,2023-24 Series III,IN0020230168,NSE,11498.0,7520.0,52.9,6199.0,2031-12-28,ACTIVE
SGBFEB32IV,2023-24 Series IV,IN0020230184,NSE,12100.0,7520.0,60.9,6263.0,2032-02-21,ACTIVE
