Sr_No,Tranche,Symbol,BSE_Code,ISIN,Issue_Date,Issue_Price,Online_Price,Maturity_Date,Premature_Exit_Date,Coupon_Rate_Pct,Annual_Interest_Per_Gram,Units_Subscribed_Grams,Total_Amount_Cr,Status,Redemption_Price,Secondary_Market_LTP,Capital_Gains_Pct,Total_CAGR_Pct
1,2015-16 Series I,SGBNOV23,539428,IN0020150085,2015-11-30,2684.0,2684.0,2023-11-30,2020-11-29,2.75,73.81,913571,245.2,REDEEMED,6132.0,,128.46,12.16
2,2015-16 Series II,SGBFEB24,539702,IN0020150101,2016-02-08,2600.0,2600.0,2024-02-08,2021-02-07,2.75,71.5,2869973,746.19,REDEEMED,6271.0,,141.19,12.86
3,2015-16 Series III,SGBMAR24,539828,IN0020150119,2016-03-29,2916.0,2916.0,2024-03-29,2021-03-29,2.75,80.19,1119741,326.52,REDEEMED,6601.0,,126.37,12.04
4,2016-17 Series I,SGBAUG24,540065,IN0020160027,2016-08-05,3119.0,3119.0,2024-08-05,2021-08-05,2.5,77.98,2953025,921.05,REDEEMED,6938.0,,122.44,11.71
5,2016-17 Series II,SGBSEP24,800005,IN0020160043,2016-09-30,3150.0,3100.0,2024-09-30,2021-09-30,2.5,78.75,2615800,823.98,REDEEMED,7517.0,,138.63,12.61
6,2016-17 Series III,SGBNOV24,800006,IN0020160076,2016-11-17,3007.0,2957.0,2024-11-17,2021-11-17,2.5,75.17,3598055,1081.94,REDEEMED,7737.0,,157.3,13.6
7,2016-17 Series IV,SGBMAR25,800007,IN0020160126,2017-03-17,2943.0,2893.0,2025-03-17,2022-03-17,2.5,73.58,2220885,653.61,REDEEMED,8720.0,,196.3,15.48
8,2017-18 Series I,SGBMAY25,800008,IN0020170018,2017-05-12,2951.0,2901.0,2025-05-12,2022-05-12,2.5,73.78,2027695,598.37,REDEEMED,9240.0,,213.11,16.23
9,2017-18 Series II,SGBJULY25,800009,IN0020170034,2017-07-28,2830.0,2780.0,2025-07-28,2022-07-28,2.5,70.75,2349953,665.04,REDEEMED,9850.0,,248.06,17.69
10,2017-18 Series III,SGBOCT25,800010,IN0020170059,2017-10-16,2956.0,2906.0,2025-10-16,2022-10-16,2.5,73.9,264815,78.28,REDEEMED,10120.0,10442.82,242.35,17.46
11,2017-18 Series IV,SGBOCT25IV,800011,IN0020170067,2017-10-23,2987.0,2937.0,2025-10-23,2022-10-23,2.5,74.67,378945,113.19,REDEEMED,10140.0,10459.8,239.47,17.34
12,2017-18 Series V,SGBOCT25V,800012,IN0020170075,2017-10-30,2971.0,2921.0,2025-10-30,2022-10-30,2.5,74.28,174024,51.7,REDEEMED,10150.0,10440.0,241.64,17.43
13,2017-18 Series VI,SGBNOV25VI,800013,IN0020170083,2017-11-06,2945.0,2895.0,2025-11-06,2022-11-06,2.5,73.62,153356,45.16,REDEEMED,10180.0,10418.0,245.67,17.59
