Security Code,Tradingsymbol,Issuer Name
511122,1STCUS,FIRST CUSTODIAN FUND (INDIA) L
533022,20MICRONS,20 MICRONS
526921,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT
542772,360ONE,360 ONE WAM
532067,3BBLACKBIO,3B BLACKBIO DX 
532628,3IINFOLTD,3I INFOTECH
523395,3MINDIA,3M INDIA
516092,3PLAND,3P LAND HOLDINGS
540776,5PAISA,5PAISA CAPITAL 
526881,63MOONS,63 MOONS TECHNOLOGIES 
540615,7NR,7NR RETAIL 
540874,7SEASL,7SEAS ENTERTAINMENT
532404,7TEC,SAVEN TECHNOLOGIES
542012,A1L,A-1
533292,A2ZINFRA,A2Z INFRA ENGINEERING
543671,AAATECH,AAA TECHNOLOGIES
530621,AAIL,AKAR AUTO INDUSTRIES 
538812,AANCHALISP,AANCHAL ISPAT 
543319,AAPLUSTRAD,AA PLUS TRADELINK 
532024,AARCON,AARCON FACILITIES
524412,AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS
539562,AARNAV,AARNAV FASHIONS
542377,AARSHYAM,AAR SHYAM INDIA INVESTMENT COM
542580,AARTECH,AARTECH SOLONICS 
524348,AARTIDRUGS,AARTI DRUGS
524208,AARTIIND,AARTI INDUSTRIES
543748,AARTIPHARM,AARTI PHARMALABS 
543210,AARTISURF,AARTI SURFACTANTS 
544850,AARVI,AARVI ENCON 
543346,AASHKA,AASHKA HOSPITALS 
511764,AASTAFIN,AASTAMANGALAM FINANCE 
544808,AASTHA,AASTHA SPINTEX
541988,AAVAS,AAVAS FINANCIERS 
539528,AAYUSH,AAYUSH WELLNESS
540718,AAYUSHBULL,AAYUSH ART AND BULLION
523204,ABAN,ABAN OFFSHORE
512165,ABANSENT,ABANS ENTERPRISES
531658,ABATEAS,ABATE AS INDUSTRIES
500002,ABB,ABB INDIA
500488,ABBOTINDIA,ABBOTT INDIA
540691,ABCAPITAL,ADITYA BIRLA CAPITAL
520123,ABCINDQ,ABC INDIA
544522,ABCOTS,A B COTSPIN INDIA 
535755,ABFRL,ADITYA BIRLA FASHION AND RETAI
532057,ABHICAP,ABHINAV CAPITAL SERVICES
538935,ABHIFIN,ABHISHEK FINLEASE 
539544,ABHIINFRA,ABHISHEK INFRAVENTURES 
511756,ABIRAFN,ABIRAMI FINANCIAL SERVICES (IN
531161,ABMKNO,ABM KNOWLEDGEWARE
500040,ABREL,ADITYA BIRLA REAL ESTATE LIMIT
544500,ABRIL,ABRIL PAPER TECH
543374,ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMI
530881,ABVL,ARUNJYOTI BIO VENTURES 
500410,ACC,ACC
531533,ACCEDERE,ACCEDERE
517494,ACCEL,ACCEL
543938,ACCELERATE,ACCELERATEBS INDIA
532268,ACCELYA,ACCELYA SOLUTIONS INDIA LIMITE
544710,ACCORDTS,ACCORD TRANSFORMER & SWITCHGEA
544598,ACCURACY,ACCURACY SHIPPING 
532762,ACE,ACTION CONSTRUCTION EQUIPMENT
544431,ACEALPHA,ACE ALPHA TECH 
530669,ACEENGITEC,ACE ENGITECH
539661,ACEMEN,ACE MEN ENGG WORKS
531525,ACESOFT,ACE SOFTWARE EXPORTS
536737,ACFSL,AMRAPALI CAPITAL AND FINANCE S
505036,ACGL,AUTOMOBILE CORPORATION OF GOA
543499,ACHYUT,ACHYUT HEALTHCARE 
543657,ACI,ARCHEAN CHEMICAL INDUSTRIES LI
517356,ACIIN,ACI INFOCOM
530043,ACKNIT,ACKNIT INDUSTRIES
532141,ACL,ANDHRA CEMENTS
539391,ACME,ACME RESOURCES 
540146,ACML,ADITYA CONSUMER MARKETING LIMI
513149,ACROW,ACROW INDIA
530745,ACSTECH,ACS TECHNOLOGIES
541144,ACTIVE,ACTIVE CLOTHING CO  
543349,ACUTAAS,ACUTAAS CHEMICALS
539254,ADANIENSOL,ADANI ENERGY SOLUTIONS 
512599,ADANIENT,ADANI ENTERPRISES
541450,ADANIGREEN,ADANI GREEN ENERGY 
532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOM
533096,ADANIPOWER,ADANI POWER
526711,ADARSHPL,ADARSH PLANT PROTECT
523411,ADCINDIA,ADC INDIA COMMUNICATIONS LIMIT
539506,ADCON,ADCON CAPITAL SERVICES 
544435,ADCOUNTY,ADCOUNTY MEDIA INDIA
507852,ADDIND,ADDI INDUSTRIES
543309,ADESHWAR,ADESHWAR MEDITEX 
519183,ADFFOODS,ADF FOODS
539189,ADHBHUTIN,ADHBHUT INFRASTRUCTURE
531286,ADHHATA,ADHATA GLOBAL
514113,ADINATH,ADINATH TEXTILES
543377,ADISHAKTI,ADISHAKTI LOHA AND ISPAT LIMIT
513513,ADITYA,ADITYA ISPAT
521141,ADITYASP,ADITYA SPINNERS
543269,ADJIA,ADJIA TECHNOLOGIES 
543231,ADL,ARCHIDPLY DECOR 
524604,ADLINE,ADLINE CHEM LAB
544669,ADMACH,ADMACH SYSTEMS
511359,ADMANUM,AD-MANUM FINANCE
544809,ADON,ADON AGRO COMMODITIES
517041,ADOR,ADOR WELDING
532172,ADROITINFO,ADROIT INFOTECH 
532875,ADSL,ALLIED DIGITAL SERVICES
543230,ADVAIT,ADVAIT ENERGY TRANSITIONS LIMI
544562,ADVANCE,ADVANCE AGROLIFE 
544843,ADVANCETL,ADVANCE TECHNOFORGE
523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA
544446,ADVENTHTL,ADVENT HOTELS INTERNATIONAL LI
540025,ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES L
539773,ADVIKCA,ADVIK CAPITAL 
521048,ADVLIFE,ADVANCE LIFESTYLES
526331,ADVMULT,ADVANCE MULTITECH
506947,ADVPETR-B,ADVANCE PETROCHEMICALS
544858,AEGEUS,AEGEUS TECHNOLOGIES
500003,AEGISLOG,AEGIS LOGISTICS
526443,AEIM,ARTIFICIAL ELECTRONICS INTELLI
539196,AEL,AMBA ENTERPRISES
524594,AEONXDIGI,AEONX DIGITAL TECHNOLOGY LIMIT
542670,AEPL,ARTEMIS ELECTRICALS AND PROJEC
544634,AEQUS,AEQUS 
511076,AEROENTER,AEROFLEX ENTERPRISES
543972,AEROFLEX,AEROFLEX INDUSTRIES 
543743,AERONEU,AEROFLEX NEU 
544743,AEROPLANE,AMIR CHAND JAGDISH KUMAR (EXPO
534733,AERPACE,AERPACE INDUSTRIES 
543534,AETHER,AETHER INDUSTRIES 
538351,AFEL,A.F. ENTERPRISES
542752,AFFLE,AFFLE 3I
541402,AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATIO
544767,AFLTD,AUTOFURNISH 
543712,AFSL,ABANS FINANCIAL SERVICES LIMIT
531921,AGARIND,AGARWAL INDUSTRIAL CORPORATION
530765,AGARWAL,AGARWAL FORTUNE INDIA
500187,AGI,AGI GREENPAC
539042,AGIIL,AGI INFRA 
516020,AGIOPAPER,AGIO PAPER & INDUSTRIES
544602,AGL,ALLCARGO GLOBAL 
542579,AGOL,ASHAPURI GOLD ORNAMENT 
539546,AGRIBIO,AGRIBIO SPIRITS
537292,AGRITECH,AGRI- TECH (INDIA)
543451,AGSTRA,AGS TRANSACT TECHNOLOGIES LIMI
543941,AHASOLAR,AHASOLAR TECHNOLOGIES
544497,AHCL,ANLON HEALTHCARE
533227,AHLEAST,ASIAN HOTELS (EAST)
532811,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LT
533221,AHLWEST,ASIAN HOTELS (WEST)
522273,AHMDSTE,AHMEDABAD STEELCRAFT
532683,AIAENG,AIA ENGINEERING
532806,AICHAMP,AI CHAMPDANY INDUSTRIES
542524,AIHL,AMBASSADOR INTRA HOLDINGS LIMI
539177,AIIL,AUTHUM INVESTMENT & INFRASTRUC
524288,AIMCOPEST,AIMCO PESTICIDES
534064,AIML,ALLIANCE INTEGRATED METALIKS L
543811,AIRAN,AIRAN
544516,AIRFLOA,AIRFLOA RAIL TECHNOLOGY LIMITE
532331,AJANTPHARM,AJANTA PHARMA
519216,AJANTSOY,AJANTA SOYA
544425,AJCJEWEL,AJC JEWEL MANUFACTURERS LIMITE
511692,AJCON,AJCON GLOBAL SERVICES
513349,AJMERA,AJMERA REALTY & INFRA INDIA LT
526628,AJWAFUN,AJWA FUN WORLD & RESORT
530499,AKCAPIT,A.K.CAPITAL SERVICES
542020,AKI,AKI INDIA 
541303,AKSHAR,AKSHAR SPINTEX 
524598,AKSHARCHEM,AKSHARCHEM (INDIA)
532351,AKSHOPTFBR,AKSH OPTIFIBRE
531082,ALANKIT,ALANKIT
539115,ALANSCOTT,ALAN SCOTT ENTERPRISES
524075,ALBERTDAVD,ALBERT DAVID
506235,ALEMBICLTD,ALEMBIC
511463,ALEXANDER,ALEXANDER STAMPS AND COIN LIMI
530973,ALFAICA,ALFA ICA (INDIA)
517546,ALFATRAN,ALFA TRANSFORMERS
531156,ALFAVIO,ALFAVISION OVERSEAS (INDIA) LT
538952,ALFL,ABHINAV LEASING & FINANCE LIMI
505216,ALFREDHE,ALFRED HERBERT (INDIA)
505725,ALGOQUANT,ALGOQUANT FINTECH
531147,ALICON,ALICON CASTALLOY
543322,ALIVUS,ALIVUS LIFE SCIENCES
533029,ALKALI,ALKALI METALS
539523,ALKEM,ALKEM LABORATORIES 
543453,ALKOSIGN,ALKOSIGN
506767,ALKYLAMINE,ALKYL AMINES CHEMICALS
532749,ALLCARGO,ALLCARGO LOGISTICS
532633,ALLDIGI,ALLDIGI TECH 
544479,ALLTIME,ALL TIME PLASTICS
531400,ALMONDZ,ALMONDZ GLOBAL SECURITIES
506120,ALNATRD,ALNA TRADING & EXPORTS
521070,ALOKINDS,ALOK INDUSTRIES
532878,ALPA,ALPA LABORATORIES
590154,ALPHA,KOTAK NIFTY ALPHA 50 ETF
526397,ALPHAGEO,ALPHAGEO (INDIA)
543937,ALPHAIND,ALPHALOGIC INDUSTRIES
542770,ALPHALOGIC,ALPHALOGIC TECHSYS 
526519,ALPINEHOU,ALPINE HOUSING DEVELOPMENT COR
544825,ALPINETEX,ALPINE TEXWORLD
535916,ALSL,ALACRITY SECURITIES
543225,ALTIUSINVIT,ALTIUS TELECOM INFRASTRUCTURE
524634,ALUFLUOR,ALUFLUORIDE
544679,AMAGI,AMAGI MEDIA LABS 
506597,AMAL,AMAL
543804,AMANAYA,AMANAYA VENTURES
544502,AMANTA,AMANTA HEALTHCARE 
521097,AMARJOTHI,AMARJOTHI SPINNING MILLS
500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L
519471,AMBARPIL,AMBAR PROTEIN INDUSTRIES LIMIT
540902,AMBER,AMBER ENTERPRISES INDIA LIMITE
